generation,index,fitness,individual,state
2,3,0.031346973,"""0.8568909;0.32127395""","""Rt 0.0000 - Step 38"""
2,4,0.00588492,"""0.8177638;0.8788005""","""Rt 0.0000 - Step 5"""
2,5,0.0016708259,"""0.29693;0.1003014""","""Rt 0.0000 - Step 5"""
2,6,1.9987325e-5,"""0.5058996;0.80229175""","""Rt 0.0000 - Step 8"""
2,7,0.00019019908,"""0.22307733;0.1886783""","""Rt 0.0000 - Step 31"""
2,8,0.039591808,"""0.91337025;0.50766045""","""Rt 0.0000 - Step 26"""
2,9,0.044644598,"""0.9143008;0.5127191""","""Rt 0.0000 - Step 28"""
2,10,0.028967325,"""0.6609134;0.14324547""","""Rt 2.9542 - Step 68"""
2,11,0.038656898,"""0.9143008;0.5127191""","""Rt 0.0000 - Step 24"""
2,12,0.026077678,"""0.89100826;0.6557579""","""Rt 0.0000 - Step 9"""
2,13,0.0022932917,"""0.29693;0.1003014""","""Rt 0.0000 - Step 28"""
2,14,0.005756096,"""0.6123046;0.2390863""","""Rt 0.0000 - Step 51"""
2,15,0.007489963,"""0.6722031;0.3219501""","""Rt 0.0000 - Step 16"""
2,16,0.0079449285,"""0.6123046;0.2390863""","""Rt 0.0000 - Step 54"""
2,17,0.013146415,"""0.8177638;0.7788005""","""Rt 0.0000 - Step 21"""
2,18,0.010956693,"""0.7568909;0.42127395""","""Rt 0.0000 - Step 23"""
2,19,0.012756983,"""0.7568909;0.32127395""","""Rt 0.0000 - Step 35"""
2,20,0.007639587,"""0.8177638;0.7788005""","""Rt 0.0000 - Step 17"""
2,21,0.016771156,"""0.82296246;0.5255012""","""Rt 0.0000 - Step 24"""
2,22,0.026183859,"""0.6609134;0.14324547""","""Rt 2.9170 - Step 68"""
2,23,0.002519521,"""0.29693;0.1003014""","""Rt 0.0000 - Step 59"""
2,24,0.034246393,"""0.9143008;0.6127191""","""Rt 0.0000 - Step 24"""
2,25,0.0068038167,"""0.6722031;0.3219501""","""Rt 0.0000 - Step 17"""
2,26,0.037222136,"""0.91337025;0.50766045""","""Rt 0.0000 - Step 27"""
2,27,0.026313454,"""0.62109405;0.11541801""","""Rt 2.9343 - Step 68"""
2,28,0.01979248,"""0.82786167;0.48867327""","""Rt 0.0000 - Step 22"""
2,29,0.009614554,"""0.8467953;0.94775677""","""Rt 0.0000 - Step 6"""
2,30,0.008751896,"""0.66763353;0.38229376""","""Rt 0.0000 - Step 1"""
2,31,0.024061935,"""0.865567;0.64323044""","""Rt 0.0000 - Step 18"""
2,32,0.01844776,"""0.76763356;0.38229376""","""Rt 0.0000 - Step 32"""
2,33,0.039785355,"""0.9138355;0.6101898""","""Rt 0.0000 - Step 20"""
2,34,0.0028704754,"""0.5573469;0.43955094""","""Rt 0.0000 - Step 14"""
2,35,0.011269721,"""0.7816057;0.538854""","""Rt 0.0000 - Step 28"""
2,36,0.003961199,"""0.44199538;0.16596189""","""Rt 0.0000 - Step 57"""
2,37,0.0029248388,"""0.44764024;0.2553142""","""Rt 0.0000 - Step 19"""
2,38,0.000581597,"""0.5254695;0.4386758""","""Rt 0.0000 - Step 3"""
2,39,0.0018605305,"""0.6984539;0.77902484""","""Rt 0.0000 - Step 3"""
2,40,0.006616242,"""0.74498343;0.5503753""","""Rt 0.0000 - Step 14"""
2,41,0.002163037,"""0.5570428;0.4722181""","""Rt 0.0000 - Step 21"""
