Observed10k
2.4585
2.545952381
2.642452381
2.500571429
2.606547619
2.732047619
2.845285714
2.898595238
3.038785714
3.182952381
3.574285714
3.707285714
3.872285714
3.988595238
4.066619048
4.363952381
4.735666667
5.320785714
6.053857143
6.726904762
6.517047619
6.909214286
8.610380952
10.62385714
12.98771429
15.30252381
16.96430952
17.38292857
18.08964286
20.08171429
21.38842857
